name,formatted_address,rating,delivery,dine_in,reservable,serves_beer,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takeout,user_ratings_total,vicinity,wheelchair_accessible_entrance,Latitude,Longitude,Postal Code,Neighbourhood,District
LA CHULA GASTROBAR,"Carrer d'Espalter, 4, 08001 Barcelona, Spain",4.4,0,1,1,1,1,1,1,1,1,1,62.0,"Carrer d'Espalter, 4, Barcelona",True,41.37855390000001,2.1706442,08001,El Raval,Ciutat Vella
Tokyo-Ya,"C/ de Balmes, 197, 08006 Barcelona, Spain",4.4,0,0,0,0,0,0,0,0,0,0,335.0,"Carrer de Balmes, 197, Barcelona",True,41.39714559999999,2.1519693,08006,El Farro,Sarria - Sant Gervasi
M.A.M.I. Italian Gastrobar,"Av. Diagonal, 366, 08013 Barcelona, Spain",4.9,0,1,1,1,1,1,1,1,1,1,162.0,"Avinguda Diagonal, 366, Barcelona",True,41.39961,2.171110000000001,08013,El Fort Pienc,Eixample
Maska GastroPub,"C/ de Pau Claris, 117, 08009 Barcelona, Spain",4.9,1,1,1,1,0,1,1,1,1,1,140.0,"Carrer de Pau Claris, 117, Barcelona",True,41.3921409,2.1678013,08009,Dreta Eixample,Eixample
Restaurant Núria Pous,"C. de Santander, 16, 08020 Barcelona, Spain",4.3,1,1,0,1,1,0,1,0,1,1,52.0,"Carrer de Santander, 16, Barcelona",True,41.42383909999999,2.1981799,08020,La Verneda - Sant Marti de Provençals,Sant Marti
O Grelo,"C/ de Bolívia, 138, 08018 Barcelona, Spain",4.0,0,1,1,1,1,1,1,0,1,1,238.0,"Carrer de Bolívia, 138, Barcelona",True,41.4064845,2.19618,08018,El Clot,Sant Marti
Viandbeers,"Carrer de Blai, 45, bajos 2, 08004 Barcelona, Spain",4.0,0,1,0,1,0,1,1,0,1,1,197.0,"Carrer de Blai, 45, bajos 2, Barcelona",,41.37405330000001,2.1632921,08004,Poble Sec,Sants - Montjuic
Nube 92,"C/ de St. Antoni Maria Claret, 92, 08025 Barcelona, Spain",4.6,1,1,0,1,0,0,1,0,0,1,23.0,"Carrer de Sant Antoni Maria Claret, 92, Barcelona",True,41.4063639,2.1682995,08025,Camps d'en Grassot i Gracia Nova,Gracia
Flintana 89,"C/ de Balmes, 341, 08006 Barcelona, Spain",,0,1,0,1,0,0,1,0,1,1,,"Carrer de Balmes, 341, Barcelona",,41.4031854,2.1428046,08006,El Farro,Sarria - Sant Gervasi
ASOCIACION cannabica,"C/ de la Selva de Mar, 9, 08019 Barcelona, Spain",,0,1,0,1,0,0,0,0,0,0,,"Carrer de la Selva de Mar, 9, Barcelona",True,41.4054796,2.2128076,08019,El Besos - Sant Marti,Sant Marti
Ristorante Pizzeria Eden Barcelona,"C/ de Provença, 332, 08037 Barcelona, Spain",4.7,1,1,1,1,1,1,1,1,1,1,2887.0,"Carrer de Provença, 332, Barcelona",False,41.3972199,2.1649694,08037,Dreta Eixample,Eixample
Restaurante Sporting,"C. de Maspons, 16, 08012 Barcelona, Spain",4.1,0,1,0,1,1,1,1,0,1,1,745.0,"Carrer de Maspons, 16, Barcelona",True,41.40120719999999,2.1564974,08012,Vila de Gracia,Gracia
Restaurant Zero Nove Cinque,"Carrer de Jaume Giralt, 5, 08003 Barcelona, Spain",4.6,0,1,1,1,0,1,1,0,1,1,618.0,"Carrer de Jaume Giralt, 5, Barcelona",True,41.3870925,2.179968999999999,08003,Barceloneta,Ciutat Vella
